Date,index_ticker,Industry,ret_next_1d,baseline_ret_1d,pred_ret_1d,abs_err_baseline,abs_err_model,improved,true_up,baseline_up,pred_up_1d,prob_up_1d,MKT_1d,SentimentScore
2025-09-10,C,Financials,0.01698055340521365,0.00831022877152554,0.00760722174300982,0.008670324633688109,0.009373331662203829,False,1,1,0,0.4293724999260552,0.00831022877152554,0.0
2025-09-11,C,Financials,0.006274113132238135,-0.0003345797943027362,0.00021094190616745566,0.006608692926540871,0.0060631712260706795,True,1,0,0,0.18109481128047622,-0.0003345797943027362,0.0
2025-09-12,C,Financials,0.0035196874970091496,0.005323880160421179,0.00440124377036658,0.0018041926634120298,0.0008815562733574308,True,1,1,0,0.21947177543413204,0.005323880160421179,0.0
2025-09-15,C,Financials,0.008517821397397984,-0.0013768692449287467,-0.00011565567736037408,0.009894690642326731,0.008633477074758358,True,1,0,0,0.20118681073073552,-0.0013768692449287467,0.0
2025-09-16,C,Financials,0.011128811237116842,-0.0012423560605266948,-0.0001713025306325818,0.012371167297643537,0.011300113767749424,True,1,0,0,0.39616270265806686,-0.0012423560605266948,0.0
2025-09-17,C,Financials,0.006387591305176743,0.004672452908252023,0.004274247134223935,0.0017151383969247203,0.002113344170952808,False,1,1,0,0.4376685262976441,0.004672452908252023,0.0
2025-09-18,C,Financials,0.002636409991843225,0.004952835223685836,0.004326756952086633,0.0023164252318426115,0.001690346960243408,True,1,1,0,0.20118681073073552,0.004952835223685836,0.0
2025-09-19,C,Financials,0.007888582323712479,0.004731075170536503,0.004405192724561886,0.0031575071531759757,0.003483389599150593,False,1,1,1,0.5463548728939857,0.004731075170536503,0.0
2025-09-22,C,Financials,-0.004734711821398618,-0.005443591771073009,-0.003961106431190704,0.0007088799496743903,0.0007736053902079147,False,0,0,0,0.1998173241189539,-0.005443591771073009,0.0
2025-09-23,C,Financials,-0.013106764791923409,-0.0031815658943793457,-0.002388557441548346,0.009925198897544063,0.010718207350375063,False,0,0,0,0.4175059444380469,-0.0031815658943793457,0.0
2025-09-24,C,Financials,0.004525274642304344,-0.004613504621998388,-0.003600303178348674,0.009138779264302732,0.008125577820653018,True,1,0,1,0.505042104998341,-0.004613504621998388,0.0
2025-09-25,C,Financials,0.012829330971213748,0.0057290777314567,0.005555431230569613,0.007100253239757048,0.007273899740644135,False,1,1,0,0.2979534665585593,0.0057290777314567,0.0
2025-09-26,C,Financials,-0.0025139661073197983,0.0028104096748033935,0.002306126202338433,0.005324375782123192,0.004820092309658231,True,0,1,0,0.21435933919314723,0.0028104096748033935,0.0
2025-09-29,C,Financials,-0.016091588532789247,0.003766875644270362,0.003234987865131792,0.01985846417705961,0.019326576397921038,True,0,1,1,0.5481582967114422,0.003766875644270362,0.0
2025-09-30,C,Financials,-0.027487654967445985,0.0034075168215907947,0.0034255227874431774,0.03089517178903678,0.03091317775488916,False,0,1,1,0.6914647440966817,0.0034075168215907947,0.0
2025-10-01,C,Financials,-0.01387909215707861,0.0011518565068935338,0.001592780408136063,0.015030948663972143,0.015471872565214673,False,0,1,1,0.5190052742352403,0.0011518565068935338,0.0
2025-10-02,C,Financials,0.004109303790836405,-1.4866158967619114e-05,0.00039755452968714505,0.004124169949804024,0.00371174926114926,True,1,0,1,0.5190052742352403,-1.4866158967619114e-05,0.0
2025-10-03,C,Financials,0.0031717202412713252,0.003586263355458641,0.0031851872655456635,0.0004145431141873157,1.3467024274338261e-05,True,1,1,0,0.3065300969459969,0.003586263355458641,0.0
2025-10-06,C,Financials,-0.002549658379591979,-0.003707494362329311,-0.0024414336250137185,0.001157835982737332,0.00010822475457826063,True,0,0,0,0.320340209735113,-0.003707494362329311,0.0
2025-10-07,C,Financials,-0.011247550001318385,0.005963041402874625,0.005628909746076563,0.01721059140419301,0.016876459747394948,True,0,1,0,0.4473548244103643,0.005963041402874625,0.0
2025-10-08,C,Financials,-0.008066168775394789,-0.0028970186885769467,-0.0022238870223192492,0.005169150086817842,0.005842281753075539,False,0,0,1,0.5190052742352403,-0.0028970186885769467,0.0
